Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.65     0.00        1     0.00     1.42  SWESolver::solve(double, bool, unsigned long, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      1.65     0.00        1     0.00     0.00  SWESolver::SWESolver(int, unsigned long, unsigned long)
  0.00      1.65     0.00        1     0.00     0.00  SWESolver::~SWESolver()
  0.00      1.65     0.00        1     0.00     0.00  std::shared_ptr<XDMFWriter>::~shared_ptr()
  0.00      1.65     0.00        1     0.00     0.00  std::__shared_ptr<XDMFWriter, (__gnu_cxx::_Lock_policy)2>::~__shared_ptr()
  0.00      1.65     0.00        1     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::~__shared_count()
  0.00      1.65     0.00        1     0.00     0.00  std::vector<double, std::allocator<double> >::_M_erase_at_end(double*)
  0.00      1.65     0.00        1     0.00     0.00  std::vector<double, std::allocator<double> >::clear()
  0.00      1.65     0.00        1     0.00     0.00  std::vector<double, std::allocator<double> >::reserve(unsigned long)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2020 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 0.61% of 1.65 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     86.1    0.00    1.42                 main [1]
                0.00    1.42       1/1           SWESolver::solve(double, bool, unsigned long, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [2]
                0.00    0.00       1/1           SWESolver::SWESolver(int, unsigned long, unsigned long) [15]
                0.00    0.00       1/1           SWESolver::~SWESolver() [139]
-----------------------------------------------
                0.00    1.42       1/1           main [1]
[2]     86.0    0.00    1.42       1         SWESolver::solve(double, bool, unsigned long, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [2]
                0.00    1.14     504/504         SWESolver::solve_step(double, std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&) const [4]
                0.13    0.14     504/504         SWESolver::compute_time_step(std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> > const&, double, double) const [7]
                0.00    0.01     504/504         SWESolver::update_bcs(std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&) const [12]
                0.00    0.00    1512/1512        void std::swap<double, std::allocator<double> >(std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&) [37]
                0.00    0.00       3/3           std::vector<double, std::allocator<double> >::operator=(std::vector<double, std::allocator<double> > const&) [126]
                0.00    0.00       1/1           std::shared_ptr<XDMFWriter>::~shared_ptr() [140]
-----------------------------------------------
                0.21    0.93 4840416/4840416     SWESolver::solve_step(double, std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&) const [4]
[3]     69.0    0.21    0.93 4840416         SWESolver::compute_kernel(unsigned long, unsigned long, double, std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&) const [3]
                0.43    0.34 242020800/281348928     SWESolver::at(std::vector<double, std::allocator<double> > const&, unsigned long, unsigned long) const [5]
                0.11    0.04 14521248/15183672     SWESolver::at(std::vector<double, std::allocator<double> >&, unsigned long, unsigned long) const [9]
-----------------------------------------------
                0.00    1.14     504/504         SWESolver::solve(double, bool, unsigned long, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [2]
[4]     69.0    0.00    1.14     504         SWESolver::solve_step(double, std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&) const [4]
                0.21    0.93 4840416/4840416     SWESolver::compute_kernel(unsigned long, unsigned long, double, std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&) const [3]
-----------------------------------------------
                0.00    0.00  604800/281348928     SWESolver::update_bcs(std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&) const [12]
                0.07    0.05 38723328/281348928     SWESolver::compute_time_step(std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> > const&, double, double) const [7]
                0.43    0.34 242020800/281348928     SWESolver::compute_kernel(unsigned long, unsigned long, double, std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&) const [3]
[5]     54.2    0.50    0.40 281348928         SWESolver::at(std::vector<double, std::allocator<double> > const&, unsigned long, unsigned long) const [5]
                0.40    0.00 281348928/281348928     std::vector<double, std::allocator<double> >::operator[](unsigned long) const [6]
-----------------------------------------------
                0.40    0.00 281348928/281348928     SWESolver::at(std::vector<double, std::allocator<double> > const&, unsigned long, unsigned long) const [5]
[6]     23.9    0.40    0.00 281348928         std::vector<double, std::allocator<double> >::operator[](unsigned long) const [6]
-----------------------------------------------
                0.13    0.14     504/504         SWESolver::solve(double, bool, unsigned long, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [2]
[7]     16.6    0.13    0.14     504         SWESolver::compute_time_step(std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> > const&, double, double) const [7]
                0.07    0.05 38723328/281348928     SWESolver::at(std::vector<double, std::allocator<double> > const&, unsigned long, unsigned long) const [5]
                0.02    0.00 14521248/14521248     double const& std::max<double>(double const&, double const&) [11]
                0.00    0.00    1008/1008        double const& std::min<double>(double const&, double const&) [38]
-----------------------------------------------
                                                 <spontaneous>
[8]     13.9    0.23    0.00                 _init [8]
-----------------------------------------------
                0.00    0.00   57624/15183672     SWESolver::init_dx_dy() [13]
                0.00    0.00  604800/15183672     SWESolver::update_bcs(std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&) const [12]
                0.11    0.04 14521248/15183672     SWESolver::compute_kernel(unsigned long, unsigned long, double, std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&) const [3]
[9]     10.0    0.12    0.04 15183672         SWESolver::at(std::vector<double, std::allocator<double> >&, unsigned long, unsigned long) const [9]
                0.04    0.00 15183672/15183672     std::vector<double, std::allocator<double> >::operator[](unsigned long) [10]
-----------------------------------------------
                0.04    0.00 15183672/15183672     SWESolver::at(std::vector<double, std::allocator<double> >&, unsigned long, unsigned long) const [9]
[10]     2.7    0.04    0.00 15183672         std::vector<double, std::allocator<double> >::operator[](unsigned long) [10]
-----------------------------------------------
                0.02    0.00 14521248/14521248     SWESolver::compute_time_step(std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> > const&, double, double) const [7]
[11]     1.2    0.02    0.00 14521248         double const& std::max<double>(double const&, double const&) [11]
-----------------------------------------------
